茅台/n,0.7310895877524402
酱香/n,0.6677857164102915
咖啡/n,0.5038246062810054
视频/n,0.1241228810835183
贵州/ns,0.10567436291813989
茅台酒/n,0.10380167464005614
白酒/n,0.08988773495552778
饮品/n,0.08833032825596407
巧克力/nr,0.08016600749837278
酒精/n,0.07364704052878437
品牌/n,0.07011646073005429
厚奶/n,0.06649155772280123
跨界/n,0.055329905347271044
饮用/n,0.05039687326650092
朋友圈/n,0.04957414353505615
酒心/n,0.0464005834468469
星巴克/nr,0.04456663723185771
冰淇淋/nr,0.043150082079939714
飞天/n,0.04246389876535745
风味/n,0.0415901691263482
产品/n,0.04060047127810761
消费者/n,0.038931160924318566
刷屏/n,0.03745214188524022
年轻人/n,0.036697670297928614
驾驶人员/n,0.036177843958236186
热度/n,0.03547485915455145
侵权行为/n,0.035004720865526716
库迪/nr,0.03396331365697041
门店/n,0.03394273124283512
网友/n,0.03185867057015205
五粮液/n,0.030076458157162346
建议/n,0.029237464515882175
味道/n,0.029156147187266522
原料/n,0.028253497760377465
客服/n,0.02786787602987596
咖啡店/n,0.027489992217536747
美酒/n,0.02655266754527903
酒精度/n,0.026205860387218234
记者/n,0.02579060926332462
过敏者/n,0.02568542147377224
新品/n,0.025168565310587268
官方/n,0.02439933533278203
工作人员/n,0.02286216736173927
吹气/n,0.02282678373914824
铁会/n,0.022323304751060365
上线/n,0.02211170530664417
含酒精/n,0.021685496043887212
上市/ns,0.021659520529946116
售价/n,0.021353472577633845
新闻/n,0.02125424489936031
刘二海/nr,0.01993152209916104
孕妇/n,0.019244618400722384
话题/n,0.01883526667007696
热议/n,0.018815356861608023
海报/n,0.01804789680343906
饮料/n,0.01764484820590071
乳业/n,0.0172589413248086
酒驾/n,0.016901930740088562
出圈/n,0.01673534018170299
社交/n,0.016225088338121214
奶茶/n,0.01601597493247526
市场/n,0.015642062833412115
驾车/n,0.015365966170742923
链接/n,0.014615473918657133
年轻化/n,0.014597563591016886
网页/n,0.014111111955419343
颗装/n,0.013553435027429507
财经/n,0.013476715856051431
口味/n,0.013353697488100676
产生/n,0.013263222937053246
喝咖啡/nr,0.013235922178813989
价格/n,0.013099199924351374
饮酒/n,0.012946651881177875
董事长/n,0.012783444917066716
中国/ns,0.012355751728838798
大家/n,0.01234541183241257
单品/n,0.0122778176130832
财报/n,0.011958913259496624
榴莲/n,0.011944441209826073
程序/n,0.01148748694647958
马提尼/nr,0.01132110455232347
记录/n,0.011250663579559582
资本/n,0.010921369689717767
感觉/n,0.010760148789864886
食用/n,0.010620085601812896
卖点/n,0.01052024334060661
指标/n,0.010458186131208285
顶流/n,0.01036439149156374
价值/n,0.010317983395725719
口感/n,0.010283708117498066
宁夏/ns,0.010121301179570384
公安/n,0.010063485114411531
公司/n,0.009859846854848081
群体/n,0.00980571017252941
合伙人/n,0.009751117685789741
每杯/nz,0.009567130607597299
食物/n,0.009530794628595246
豪门/n,0.009360627887377624
礼盒/n,0.009318652593452796
数值/n,0.009298206847925948
